"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"Personal licences in force","Alcohol","Environment","Number of personal licenses in force per 10,000 population 18+ (per annum).","Scottish Government (Liquor licensing in Scotland)",NA,"N/A","Number of personal licenses in force","Total population 18+","Crude rate per 10,000 population","cr","None","N",0,NA,"18+","All","Financial year","2011/12-2021/22","Single year","Annual","Council area, Alcohol & drug partnership, Health board, Scotland","Byar's approximation","Data for 2015/16 revised. No data for three LA (Aberdeenshire, East Renfrewshire and North Lanrkshire) so used 2019/20 data","[Scottish Liquor Licensing Statistics](https://www.gov.scot/publications/scottish-liquor-licensing-statistics/)",NA,"Dec-2022","TBC","Higher numbers are worse","L","SG, Liquor licences statistics (read comment in planning stage) Data in ""received"" folder downloaded from: http://www.gov.scot/Topics/Statistics/Browse/Crime-Justice/PubLiquor",1,"ALC-Environment",NA,NA,NA,NA,"ALC-Environment;;",NA
"Population prescribed drugs for anxiety/depression/psychosis","Health & wellbeing","Mental Health","Estimated number and percentage of population being prescribed drugs for anxiety, depression or psychosis.","Public Health Scotland (Prescribing Information System)",NA,"Items included are all from BNF Section 4.2 (Antipsychotics), 4.3 (Antidepressants) and Sub Section 4.1.2 (Anxiolytics).","Estimated number of people being prescribed drugs for anxiety, depression or psychosis.","Total population","Percentage","%","Values less than 10 are suppressed","Y",10,NA,"All","All","Financial year","2009/10 - 2023/24","Single year","Annual","HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","Individuals are indentified using counts of distinct CHI numbers associated with a prescription for one (or more) of the prescription items of interest. Unique CHI will be counted once per year and are assigned to geographies (e.g. NHS board/council) based on the postocde of residence at latest prescription. Dates based on prescription item paid date. ","[Monthly prescribing activity data](https://www.publichealthscotland.scot/publications/monthly-prescribing-activity-data/)","The Public Health Scotland website includes an [overview of prescribing data in Scotland ](https://publichealthscotland.scot/healthcare-system/system-monitoring-accountability-and-quality-of-care/prescribing-data/overview-of-prescribing-data/)","Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland (Prescribing Information System), CHI extract -Public Health Scotland Prescribing Team NSS.Public Health Scotlandprescribing@nhs.net",1,"HWB-Mental health",NA,NA,"People",NA,"HWB-Mental health;;",NA
"Population prevalence of problem drug use","Drugs","Drugs-Prevalence","(Both) Estimated prevalence of problem drug use (ages 15 to 64).","Public Health Scotland (Estimating the National and Local Prevalence of
  Problem Drug Misuse in Scotland)",NA,"N/A","Number of people recorded as drug users","Total population","Percentage","%","None","N",0,"None","All","All","Financial year","2006,2009/10,2012/13","Single year","Ad-hoc (after PHS's drug prevalence publication)","Council area, Alcohol & drug partnership, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Mar-2016","Archived","Higher numbers are worse","L","Public Health Scotland, Estimating the National and Local Prevalence of
  Problem Drug Misuse in Scotland",1,"DRG-Prevalence",NA,NA,NA,NA,"DRG-Prevalence;;",NA
"Population within 500 metres of a derelict site","Health & wellbeing","Environment","Number and percentage of population living within 500 metres of a derelict site.","Scottish Government (SDVLS)",NA,"N/A",NA,NA,"Percentage","%","Values less than 5 are suppressed","Y",5,NA,NA,NA,"Calendar year","2007-2023","Single year","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","Glasgow conducted a partial survey in 2021 and some sites were recorded as re-used but no new sites were added due to difficulty with resource for the survey. Dundee City and West Lothian have not updated their survey since 2019 so no data is available on new sites in 2021.Analysis of distance of population to derelict land was not carried out in 2020 due to the lower rate of survey returns during the Covid-19 pandemic.",NA,NA,"Dec-2024","Oct-2025","Higher numbers are worse","L","Karren.Friel@gov.scot' ,Centre for Housing Market Analysis Scottish Government
 
 SDVLS -Dorothy.Watson@scotland.gsi.gov.uk",1,"HWB-Environment",NA,NA,NA,NA,"HWB-Environment;;",NA
"Post-partum smoking rate","Tobacco","Smoking during and post pregnancy","Percentage (from 3 year combined totals) of all women/primary carer with a known smoking status at postnatal appointment (health visitor First Visit review) who
  are recorded as a 'current smoker'.","Public Health Scotland, Child Health team",NA,"N/A","Number of women/primary carer recorded as currently smoking as postnatal appointment","Number of postnatal appointments","Percentage","%","Values less than 5 are suppressed","Y",5,"None","All","Female","Financial year","2002/03 to 2004/05  - 	2020/21 to 2023/24 ","3-year aggregate","Annual","Council area, Health board, HSC partnership, Scotland","Wilson's Score method","Some boards started recording later than others, so no data for earlier years. For earlier years data only includes women, but in the most recent one it also includes primary carers.",NA,NA,"Jan-2025","Jan-2026","Higher numbers are worse","L","Public Health Scotland, Child health team (phs.childhealthstats@phs.scot)",1,"TOB-Smoking during and post pregnancy",NA,NA,NA,NA,"TOB-Smoking during and post pregnancy;;",NA
"Premature births","Children & young people","Children & young people - Healthy","Live births before 37 weeks gestation; 3-year rolling average number and percentage of all live births","Public Health Scotland (SMR02)",NA,"N/A","Total number of live births before 37 weeks gestation","All live births","Percentage","%","None","N",0,"None","All","Female","Financial year","2002/03-2023/24","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","ScotPHO's indicator includes both singleton and multiple births. This is slightly different to Public Health Scotland's 'Births in Scotland' publication which only includes singleton births. Therefore, there may be small differences in the data. ","[Births in Scotland](https://publichealthscotland.scot/publications/births-in-scotland/)",NA,"Dec-2024","Dec-2025","Higher numbers are worse","L","SMR02, Maternity team",1,"CYP-Healthy","CWB-Early years",NA,"Births",NA,"CYP-Healthy;CWB-Early years;",NA
"Premise licences in force - Off trade","Alcohol","Environment","Number of premise licences in force per 10,000 population 18+ - off Trade.","Scottish Government (Liquor licensing in Scotland)",NA,"N/A","Number of premise licences in force (off trade)","Total population 18+","Crude rate per 10,000 population","cr","None","N",0,"None","18+","All","Financial year","2011/12-2021/22","Single year","Annual","Council area, Alcohol & drug partnership, Health board, Scotland","Byar's approximation","Note that for 2020/21, the following three local authorities data is revised as thier 2020/21 data is now available (p[reviosuly had used their 2019/20 data): Aberdeenshire, East Renfrewshire and North Lanrkshire.","[Scottish Liquor Licensing Statistics](https://www.gov.scot/publications/scottish-liquor-licensing-statistics/)",NA,"Dec-2022","TBC","Higher numbers are worse","L","Data in ""received"" folder downloaded from: http://www.gov.scot/Topics/Statistics/Browse/Crime-Justice/PubLiquor",1,"ALC-Environment",NA,NA,NA,NA,"ALC-Environment;;",NA
"Premise licences in force - On trade","Alcohol","Environment","Number of premise licences in force per 10,000 population 18+ - On Trade.","Scottish Government (Liquor licensing in Scotland)",NA,"N/A","Number of premise licences in force (on trade)","Total population 18+","Crude rate per 10,000 population","cr","None","N",0,"None","18+","All","Financial year","2011/12-2021/22","Single year","Annual","Council area, Alcohol & drug partnership, Health board, Scotland","Byar's approximation","Note that for 2020/21, the following three local authorities data is revised as thier 2020/21 data is now available (p[reviosuly had used their 2019/20 data): Aberdeenshire, East Renfrewshire and North Lanrkshire.","[Scottish Liquor Licensing Statistics](https://www.gov.scot/publications/scottish-liquor-licensing-statistics/)",NA,"Dec-2022","TBC","Higher numbers are worse","L","Data in ""received"" folder downloaded from: http://www.gov.scot/Topics/Statistics/Browse/Crime-Justice/PubLiquor",1,"ALC-Environment",NA,NA,NA,NA,"ALC-Environment;;",NA
"Premise licences in force - Total","Alcohol","Environment","Number of premise licences in force per 10,000 population 18+ - Total (on/off sale).","Scottish Government (Liquor licensing in Scotland)",NA,"N/A","Number of premise licences in force (on and off trade)","Total population 18+","Crude rate per 10,000 population","cr","None","N",0,"None","18+","All","Financial year","2011/12-2021/22","Single year","Annual","Council area, Alcohol & drug partnership, Health board, Scotland","Byar's approximation","Note that for 2020/21, the following three local authorities data is revised as thier 2020/21 data is now available (p[reviosuly had used their 2019/20 data): Aberdeenshire, East Renfrewshire and North Lanrkshire.","[Scottish Liquor Licensing Statistics](https://www.gov.scot/publications/scottish-liquor-licensing-statistics/)",NA,"Dec-2022","TBC","Higher numbers are worse","L","Data in ""received"" folder downloaded from: http://www.gov.scot/Topics/Statistics/Browse/Crime-Justice/PubLiquor",1,"ALC-Environment",NA,NA,NA,NA,"ALC-Environment;;",NA
"Primary school children","Population","Population","Number of children in primary school and percentage of total population","Scottish Government
  (Pupil Census)",NA,"N/A","Pupils in primary schools excluding those attending grant-maintained schools.","Total population","Percentage","%","None","N",0,"None","Primary school age","All","Calendar year","2002-2023","Single year","Annual","Council area, Health board, Scotland","No confidence intervals",NA,"[Pupil census supplementary statistics](https://www.gov.scot/publications/pupil-census-supplementary-statistics/)",NA,"Sep-2025","Sep-2026","N/A","O","Pupil Census,NRS",1,"POP-Population",NA,NA,NA,NA,"POP-Population;;",NA
"Prisoner population","Health & wellbeing","Crime","Prisoner population (16+ year olds) based on prisoners home address: total number and directly age standardised rate per 100,000 population. 
  
  All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates.","Scottish Prison Service",NA,"N/A",NA,NA,"Age-sex standardised rate per 100,000","sr","Values less than 5 are suppressed","Y",5,NA,NA,"All","31st March Snapshot","2002-2014","Yearly snapshot","-","Council area, Health board","Byar's approximation","Same basefile as in Profiles 2014.
  
  SG are reviewing their SPS data collection processes - publication of this indicator is on hold for the time being.",NA,NA,"Sep-2025","Archived","Higher numbers are worse","L","SPS (Elizabeth Fraser) -'elizabeth.fraser@scotland.gsi.gov.uk'",1,"HWB-Crime",NA,NA,NA,NA,"HWB-Crime;;",NA
"Problem drug use, females","Mental Health","Mental Health-Female adult","(Females) Estimated prevalence of problem drug use (ages 15 to 64).","Public Health Scotland
  (Estimating the National and Local Prevalence of
  Problem Drug Misuse in Scotland)",NA,"N/A","Number of women recorded as drug users","Total female population","Percentage","%","None","N",0,"None","All","Female","Financial year","2006,2009/10,2012/13","Single year","After PHS' drug prevalence publication","Council area, Alcohol & drug partnership, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Jun-2016","Archived","Higher numbers are worse","L","Public Health Scotland, Estimating the National and Local Prevalence of
  Problem Drug Misuse in Scotland",1,"DRG-Health",NA,NA,NA,NA,"DRG-Health;;",NA
"Problem drug use, males","Mental Health","Mental Health-Male adult","(Males) Estimated prevalence of problem drug use (ages 15 to 64).","Public Health Scotland
  (Estimating the National and Local Prevalence of
  Problem Drug Misuse in Scotland)",NA,"N/A","Number of men recorded as drug users","Total male population","Percentage","%","None","N",0,"None","All","Males","Financial year","2006,2009/10,2012/13","Single year","After PHS' drug prevalence publication","Council area, Alcohol & drug partnership, Health board, Scotland","Wilson's Score method",NA,NA,NA,"Jun-2016","Archived","Higher numbers are worse","L","Public Health Scotland, Estimating the National and Local Prevalence of
  Problem Drug Misuse in Scotland",1,"DRG-Health",NA,NA,NA,NA,"DRG-Health;;",NA
"Proportion of S4 pupils in good or excellent general health","Children & young people","Children & young people - Healthy","Proportion of S4 pupils who report they are in good or excellent general health","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A","Total number of S4 pupils reporting that they are in good or excellent general health","All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","Every 4 years (approx)","Council area, Health board","Wilson's Score method","The SALSUS time trend data set, available form the UK Data Service, has been used to produce this indicator (link below).
  Numerators are not presented in the tool; this is due to the relatively small number of people, when compared to the population, being included in the survey.
  Weighting has been used to correct for any effects of non-response to ensure that the results are representative on various characteristics of the target population.
  The sample design of SALSUS is complex, involving stratification by local authority and school type (state or independent) as well as clustering within schools. Clustering reduces the precision of estimates compared with a simple random sample, whereas stratification can increase precision. Weighting can also reduce the precision of estimates. These factors can impact on the reliability of the confidence intervals presented here; this should be taken into consideration when interpreting this indicator. For more information please see the SALSUS technical document (link below).","[Scottish Schools Adolescent Lifestyle and Substance Use Survey Trend Data, 1990-2013](https://discover.ukdataservice.ac.uk/catalogue/?sn=7849&type=Data%20catalogue)",NA,"Sep-2017","Archived","Higher numbers are better","H","SALSUS",1,"CYP-Healthy",NA,NA,NA,NA,"CYP-Healthy;;",NA
"Proportion of S4 pupils participating in recreational groups and activities","Children & young people","Children & young people - Included","Proportion of S4 pupils participating in recreational groups and activities in the last 12 months.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A","Total number of S4 pupils reporting that they have participated in recreational groups and activities at least once in the last 12 months.","All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","Every 4 years (approx)","Council area, Health board","Wilson's Score method","The SALSUS time trend data set, available form the UK Data Service, has been used to produce this indicator (link below).
  Numerators are not presented in the tool; this is due to the relatively small number of people, when compared to the population, being included in the survey.
  Weighting has been used to correct for any effects of non-response to ensure that the results are representative on various characteristics of the target population.
  The sample design of SALSUS is complex, involving stratification by local authority and school type (state or independent) as well as clustering within schools. Clustering reduces the precision of estimates compared with a simple random sample, whereas stratification can increase precision. Weighting can also reduce the precision of estimates. These factors can impact on the reliability of the confidence intervals presented here; this should be taken into consideration when interpreting this indicator. For more information please see the SALSUS technical document (link below).","[Scottish Schools Adolescent Lifestyle and Substance Use Survey Trend Data, 1990-2013](https://discover.ukdataservice.ac.uk/catalogue/?sn=7849&type=Data%20catalogue)",NA,"Sep-2017","Archived","Higher numbers are better","H","SALSUS",1,"CYP-Included",NA,NA,NA,NA,"CYP-Included;;",NA
"Proportion of S4 pupils who are regular smokers","Children & young people","Children & young people - Responsible","Proportion of S4 pupils who report usually smoking one or more cigarettes per week (regular smoker)","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A","Total number of S4 pupils reporting that they usually smoke one or more cigarettes per week","All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","Every 4 years (approx)","Council area, Health board","Wilson's Score method","The SALSUS time trend data set, available form the UK Data Service, has been used to produce this indicator (link below).
  Numerators are not presented in the tool; this is due to the relatively small number of people, when compared to the population, being included in the survey.
  Weighting has been used to correct for any effects of non-response to ensure that the results are representative on various characteristics of the target population.
  The sample design of SALSUS is complex, involving stratification by local authority and school type (state or independent) as well as clustering within schools. Clustering reduces the precision of estimates compared with a simple random sample, whereas stratification can increase precision. Weighting can also reduce the precision of estimates. These factors can impact on the reliability of the confidence intervals presented here; this should be taken into consideration when interpreting this indicator. For more information please see the SALSUS technical document (link below).","[Scottish Schools Adolescent Lifestyle and Substance Use Survey Trend Data, 1990-2013](https://discover.ukdataservice.ac.uk/catalogue/?sn=7849&type=Data%20catalogue)",NA,"Sep-2017","Archived","Higher numbers are worse","L","SALSUS",1,"CYP-Responsible",NA,NA,NA,NA,"CYP-Responsible;;",NA
"Proportion of S4 pupils who are weekly drinkers","Children & young people","Children & young people - Responsible","Proportion of S4 pupils who report usually drinking alcohol at least once a week","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A","Total number of S4 pupils reporting that they usually drink alcohol at least once a week","All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","Every 4 years (approx)","Council area, Health board","Wilson's Score method","The SALSUS time trend data set, available form the UK Data Service, has been used to produce this indicator (link below).
  Numerators are not presented in the tool; this is due to the relatively small number of people, when compared to the population, being included in the survey.
  Weighting has been used to correct for any effects of non-response to ensure that the results are representative on various characteristics of the target population.
  The sample design of SALSUS is complex, involving stratification by local authority and school type (state or independent) as well as clustering within schools. Clustering reduces the precision of estimates compared with a simple random sample, whereas stratification can increase precision. Weighting can also reduce the precision of estimates. These factors can impact on the reliability of the confidence intervals presented here; this should be taken into consideration when interpreting this indicator. For more information please see the SALSUS technical document (link below).","[Scottish Schools Adolescent Lifestyle and Substance Use Survey Trend Data, 1990-2013](https://discover.ukdataservice.ac.uk/catalogue/?sn=7849&type=Data%20catalogue)",NA,"Sep-2017","Archived","Higher numbers are worse","L","SALSUS",1,"CYP-Responsible",NA,NA,NA,NA,"CYP-Responsible;;",NA
"Proportion of S4 pupils who use drugs monthly","Children & young people","Children & young people - Responsible","Proportion of S4 pupils who report usually using drugs at least once a month","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A","Total number of S4 pupils reporting that they usually use drugs at least once a month","All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","Every 4 years (approx)","Council area, Health board","Wilson's Score method","The SALSUS time trend data set, available form the UK Data Service, has been used to produce this indicator (link below).
  Numerators are not presented in the tool; this is due to the relatively small number of people, when compared to the population, being included in the survey.
  Weighting has been used to correct for any effects of non-response to ensure that the results are representative on various characteristics of the target population.
  The sample design of SALSUS is complex, involving stratification by local authority and school type (state or independent) as well as clustering within schools. Clustering reduces the precision of estimates compared with a simple random sample, whereas stratification can increase precision. Weighting can also reduce the precision of estimates. These factors can impact on the reliability of the confidence intervals presented here; this should be taken into consideration when interpreting this indicator. For more information please see the SALSUS technical document (link below).","[Scottish Schools Adolescent Lifestyle and Substance Use Survey Trend Data, 1990-2013](https://discover.ukdataservice.ac.uk/catalogue/?sn=7849&type=Data%20catalogue)",NA,"Sep-2017","Archived","Higher numbers are worse","L","SALSUS",1,"CYP-Responsible",NA,NA,NA,NA,"CYP-Responsible;;",NA
"Psychiatric patient hospitalisations","Health & wellbeing","Mental Health","Patients discharged from psychiatric hospitals: 3-year rolling average number and directly age-sex standardised rate per 100,000 population.","Public Health Scotland (SMR04)",NA,"All admissions","Number of patients discharged from psychiatric hospitals","Total population","Age-sex standardised rate per 100,000","sr","Values less than 10 are suppressed","Y",10,"None","All","All","Financial year","2002/03-2023/24","3-year aggregate","Annual","HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.

All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates. Patient is selected only once per year, based on their discharge date.","[Mental health inpatient activity](https://publichealthscotland.scot/publications/mental-health-inpatient-activity/)",NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","SMR04, extracted directly by ScotPHO team. If there are questions ask PHS Mental health team",1,"HWB-Mental health",NA,NA,"Patients",NA,"HWB-Mental health;;",NA
"Road traffic accident casualties","Health & wellbeing","Ill health & injury","Patients discharged from hospital after an emergency admission or died as a result of a road traffic accident : 3-year rolling average number and 3 directly age-sex standardised rate per 100,000 population.","Public Health Scotland (SMR01)",NA,"SMR01 - admission type 32 (Patient Injury - Road Traffic Accident (RTA). Deaths - ICD10, V01-V89.","Number of patients admitted or who died as a result of a road traffic accident","Total population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","All","Calendar year","2002-2004 to 2021-2023","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","Hospital patients are only counted once per year based on their first road traffic accident admission to hospital that year. Patient's demographic data (age, gender, location of residence) are extracted from the first valid information within that admission.","[Unintentional injuries statistics](https://publichealthscotland.scot/publications/unintentional-injuries)","The Public Health Scotland website includes an overview of [unintentional injuries](https://publichealthscotland.scot/healthcare-system/urgent-and-unscheduled-care/unintentional-injuries/)","Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database) or GROS",1,"HWB-Ill health & injury",NA,NA,"Casualties",NA,"HWB-Ill health & injury;;","[Injuries section](https://www.scotpho.org.uk/health-conditions/injuries/)"
"S2 boys conduct problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with conduct problems, defined as a score of 2 or more on the conduct problems scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Males","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 boys emotional and behavioural problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with emotional and behavioural problems, defined as a score of 2 or more for total difficulties in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Males","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 boys emotional symptoms percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with emotional symptoms, defined as a score of 2 or more on the emotional symptoms scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Males","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 boys hyperactive percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with hyperactivity or inattention symptoms, defined as a score of 2 or more on the hyperactivity scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Males","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 boys mean mental wellbeing score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Mean Score on The Warwick-Edinburgh Mental Well-being Scale (WEMWBS) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Mean","Mean","None","N",0,NA,NA,"Males","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are better","H","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 boys pro-social behaviour percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with symptoms of a lack of prosocial (helping others) behaviour, defined as a score of 2 or more on the prosocial scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Males","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 girls conduct problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with conduct problems, defined as a score of 2 or more on the conduct problems scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Females","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 girls emotional and behavioural problems percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with emotional and behavioural problems, defined as a score of 2 or more for total difficulties in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Females","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 girls emotional symptoms percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with emotional symptoms, defined as a score of 2 or more on the emotional symptoms scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Females","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 girls hyperactive percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with hyperactivity or inattention symptoms, defined as a score of 2 or more on the hyperactivity scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Females","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 girls mean mental wellbeing score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Mean Score on The Warwick-Edinburgh Mental Well-being Scale (WEMWBS) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Mean","Mean","None","N",0,NA,NA,"Females","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are better","H","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
"S2 girls pro-social behaviour percentage with a borderline/abnormal score","Mental Health: Children and Young People's","Archive","Boys / girls in Secondary school year 2 (aged c.13 years) Percentage with symptoms of a lack of prosocial (helping others) behaviour, defined as a score of 2 or more on the prosocial scale in the Strengths and Difficulties Questionnaire (SDQ) for 2010 and 2013 combined.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,"Females","Survey year","2010-13","Combined years","After SALSUS publication","Council area",NA,NA,NA,NA,"Nov-2015","Archived","Higher numbers are worse","L","SALSUS",1,"CMH-Archive",NA,NA,NA,NA,"CMH-Archive;;",NA
